id;name;eventTypeId;responsableId
1386;Seminario de apertura;1;5325
1387;Seminario de clausura;1;5325
1388;Seminario intermodular 2;1;5325
1383;Mentoría en pareja;2;5323
1384;Mentoría individual;2;5323
1385;Mentoría situacional;2;5323
1389;Seminario intermodular 1;1;5325
36;Comunidad de práctica;4;208
37;Comunidad de práctica;4;187
38;Comunidad de práctica;4;185
39;Comunidad de práctica;4;183
40;Comunidad de práctica;4;176
41;Comunidad de práctica;4;175
42;Comunidad de práctica;4;151
43;Comunidad de práctica;4;150
44;Comunidad de práctica;4;133
45;Comunidad de práctica;4;130
46;Comunidad de práctica;4;127
48;Comunidad de práctica;4;116
49;Comunidad de práctica;4;114
50;Comunidad de práctica;4;111
51;Mentoría en pareja;2;143
52;Mentoría en pareja;2;56
53;Mentoría en pareja;2;274
54;Mentoría en pareja;2;119
55;Mentoría en pareja;2;139
56;Mentoría en pareja;2;309
57;Mentoría en pareja;2;118
58;Mentoría en pareja;2;107
59;Mentoría en pareja;2;145
60;Mentoría en pareja;2;310
61;Mentoría en pareja;2;117
62;Mentoría en pareja;2;277
63;Mentoría en pareja;2;153
64;Mentoría en pareja;2;311
65;Mentoría en pareja;2;115
66;Mentoría en pareja;2;146
67;Mentoría en pareja;2;313
68;Mentoría en pareja;2;275
69;Mentoría en pareja;2;113
70;Mentoría en pareja;2;315
71;Mentoría en pareja;2;112
72;Mentoría en pareja;2;140
73;Mentoría en pareja;2;273
74;Mentoría en pareja;2;318
75;Mentoría en pareja;2;110
76;Mentoría en pareja;2;276
77;Mentoría en pareja;2;147
78;Mentoría en pareja;2;106
79;Mentoría en pareja;2;105
80;Mentoría en pareja;2;138
81;Mentoría en pareja;2;149
82;Mentoría en pareja;2;154
83;Mentoría en pareja;2;272
84;Mentoría en pareja;2;155
85;Mentoría en pareja;2;108
86;Mentoría en pareja;2;109
87;Mentoría en pareja;2;278
88;Mentoría en pareja;2;285
89;Mentoría en pareja;2;303
90;Mentoría en pareja;2;122
91;Mentoría en pareja;2;304
92;Mentoría en pareja;2;120
93;Mentoría en pareja;2;307
94;Mentoría en pareja;2;123
95;Mentoría en pareja;2;301
96;Mentoría en pareja;2;144
97;Mentoría en pareja;2;124
98;Mentoría en pareja;2;300
99;Mentoría en pareja;2;284
100;Mentoría en pareja;2;125
101;Mentoría en pareja;2;298
102;Mentoría en pareja;2;126
103;Mentoría en pareja;2;297
104;Mentoría en pareja;2;279
105;Mentoría en pareja;2;6
106;Mentoría en pareja;2;5
107;Mentoría en pareja;2;7
108;Mentoría en pareja;2;4
109;Mentoría en pareja;2;1
110;Mentoría en pareja;2;8
111;Mentoría en pareja;2;9
112;Mentoría en pareja;2;10
113;Mentoría en pareja;2;128
114;Mentoría en pareja;2;11
115;Mentoría en pareja;2;12
116;Mentoría en pareja;2;13
117;Mentoría en pareja;2;214
118;Mentoría en pareja;2;14
119;Mentoría en pareja;2;213
120;Mentoría en pareja;2;296
121;Mentoría en pareja;2;15
122;Mentoría en pareja;2;215
123;Mentoría en pareja;2;16
124;Mentoría en pareja;2;17
125;Mentoría en pareja;2;212
126;Mentoría en pareja;2;216
127;Mentoría en pareja;2;18
128;Mentoría en pareja;2;211
129;Mentoría en pareja;2;217
130;Mentoría en pareja;2;20
131;Mentoría en pareja;2;210
132;Mentoría en pareja;2;218
133;Mentoría en pareja;2;21
134;Mentoría en pareja;2;129
135;Mentoría en pareja;2;22
136;Mentoría en pareja;2;23
137;Mentoría en pareja;2;209
138;Mentoría en pareja;2;219
139;Mentoría en pareja;2;24
140;Mentoría en pareja;2;207
141;Mentoría en pareja;2;25
142;Mentoría en pareja;2;220
143;Mentoría en pareja;2;206
144;Mentoría en pareja;2;27
145;Mentoría en pareja;2;295
