id;eventId;trainingModuleId;responsibleId
1;1;1;208
2;1;2;208
3;1;3;208
4;1;4;208
5;1;5;208
6;1;1;187
7;1;2;187
8;1;3;187
9;1;4;187
10;1;5;187
11;1;1;185
12;1;2;185
13;1;3;185
14;1;4;185
15;1;5;185
16;1;1;183
17;1;2;183
18;1;3;183
19;1;4;183
20;1;5;183
21;1;1;176
22;1;2;176
23;1;3;176
24;1;4;176
25;1;5;176
26;1;1;175
27;1;2;175
28;1;3;175
29;1;4;175
30;1;5;175
31;1;1;151
32;1;2;151
33;1;3;151
34;1;4;151
35;1;5;151
36;1;1;150
37;1;2;150
38;1;3;150
39;1;4;150
40;1;5;150
41;1;1;133
42;1;2;133
43;1;3;133
44;1;4;133
45;1;5;133
46;1;1;130
47;1;2;130
48;1;3;130
49;1;4;130
50;1;5;130
51;1;1;127
52;1;2;127
53;1;3;127
54;1;4;127
55;1;5;127
56;1;1;116
57;1;2;116
58;1;3;116
59;1;4;116
60;1;5;116
61;1;1;114
62;1;2;114
63;1;3;114
64;1;4;114
65;1;5;114
66;1;1;111
67;1;2;111
68;1;3;111
69;1;4;111
70;1;5;111
71;1;1;242
72;1;2;242
73;1;3;242
74;1;4;242
75;1;5;242
76;1;1;5
77;1;2;5
78;1;3;5
79;1;4;5
80;1;5;5
81;1;1;96
82;1;2;96
83;1;3;96
84;1;4;96
85;1;5;96
86;1;1;95
87;1;2;95
88;1;3;95
89;1;4;95
90;1;5;95
91;1;1;92
92;1;2;92
93;1;3;92
94;1;4;92
95;1;5;92
96;1;1;86
97;1;2;86
98;1;3;86
99;1;4;86
100;1;5;86
101;1;1;84
102;1;2;84
103;1;3;84
104;1;4;84
105;1;5;84
106;1;1;148
107;1;2;148
108;1;3;148
109;1;4;148
110;1;5;148
111;1;1;63
112;1;2;63
113;1;3;63
114;1;4;63
115;1;5;63
116;1;1;60
117;1;2;60
118;1;3;60
119;1;4;60
120;1;5;60
121;1;1;57
122;1;2;57
123;1;3;57
124;1;4;57
125;1;5;57
126;1;1;43
127;1;2;43
128;1;3;43
129;1;4;43
130;1;5;43
131;1;1;40
132;1;2;40
133;1;3;40
134;1;4;40
135;1;5;40
136;1;1;36
137;1;2;36
138;1;3;36
139;1;4;36
140;1;5;36
141;1;1;26
142;1;2;26
143;1;3;26
144;1;4;26
145;1;5;26
146;1;1;3
147;1;2;3
148;1;3;3
149;1;4;3
150;1;5;3
151;1;1;2
152;1;2;2
153;1;3;2
154;1;4;2
155;1;5;2
156;1;1;168
157;1;2;168
158;1;3;168
159;1;4;168
160;1;5;168
161;1;1;136
162;1;2;136
163;1;3;136
164;1;4;136
165;1;5;136
166;1;1;316
167;1;2;316
168;1;3;316
169;1;4;316
170;1;5;316
171;1;1;314
172;1;2;314
173;1;3;314
174;1;4;314
175;1;5;314
176;1;1;312
177;1;2;312
178;1;3;312
179;1;4;312
180;1;5;312
181;1;1;308
182;1;2;308
183;1;3;308
184;1;4;308
185;1;5;308
186;1;1;305
187;1;2;305
188;1;3;305
189;1;4;305
190;1;5;305
191;1;1;302
192;1;2;302
193;1;3;302
194;1;4;302
195;1;5;302
196;1;1;292
197;1;2;292
198;1;3;292
199;1;4;292
200;1;5;292
201;1;1;288
202;1;2;288
203;1;3;288
204;1;4;288
205;1;5;288
206;1;1;280
207;1;2;280
208;1;3;280
209;1;4;280
210;1;5;280
211;1;1;267
212;1;2;267
213;1;3;267
214;1;4;267
215;1;5;267
216;1;1;263
217;1;2;263
218;1;3;263
219;1;4;263
220;1;5;263
221;1;1;251
222;1;2;251
223;1;3;251
224;1;4;251
225;1;5;251
226;1;1;249
227;1;2;249
228;1;3;249
229;1;4;249
230;1;5;249
231;1;1;238
232;1;2;238
233;1;3;238
234;1;4;238
235;1;5;238
236;1;1;233
237;1;2;233
238;1;3;233
239;1;4;233
240;1;5;233
241;1;1;230
242;1;2;230
243;1;3;230
244;1;4;230
245;1;5;230
246;1;1;228
247;1;2;228
248;1;3;228
249;1;4;228
250;1;5;228
251;1;1;223
252;1;2;223
253;1;3;223
254;1;4;223
255;1;5;223
256;2;1;5323
257;2;2;5323
258;2;3;5323
259;2;4;5323
260;2;5;5323
261;2;1;143
262;2;2;143
263;2;3;143
264;2;4;143
265;2;5;143
266;2;1;56
267;2;2;56
268;2;3;56
269;2;4;56
270;2;5;56
271;2;1;274
272;2;2;274
273;2;3;274
274;2;4;274
275;2;5;274
276;2;1;119
277;2;2;119
278;2;3;119
279;2;4;119
280;2;5;119
281;2;1;139
282;2;2;139
283;2;3;139
284;2;4;139
285;2;5;139
286;2;1;309
287;2;2;309
288;2;3;309
289;2;4;309
290;2;5;309
291;2;1;118
292;2;2;118
293;2;3;118
294;2;4;118
295;2;5;118
296;2;1;107
297;2;2;107
298;2;3;107
299;2;4;107
300;2;5;107
301;2;1;145
302;2;2;145
303;2;3;145
304;2;4;145
305;2;5;145
306;2;1;310
307;2;2;310
308;2;3;310
309;2;4;310
310;2;5;310
311;2;1;117
312;2;2;117
313;2;3;117
314;2;4;117
315;2;5;117
316;2;1;277
317;2;2;277
318;2;3;277
319;2;4;277
320;2;5;277
321;2;1;153
322;2;2;153
323;2;3;153
324;2;4;153
325;2;5;153
326;2;1;311
327;2;2;311
328;2;3;311
329;2;4;311
330;2;5;311
331;2;1;115
332;2;2;115
333;2;3;115
334;2;4;115
335;2;5;115
336;2;1;146
337;2;2;146
338;2;3;146
339;2;4;146
340;2;5;146
341;2;1;313
342;2;2;313
343;2;3;313
344;2;4;313
345;2;5;313
346;2;1;275
347;2;2;275
348;2;3;275
349;2;4;275
350;2;5;275
351;2;1;113
352;2;2;113
353;2;3;113
354;2;4;113
355;2;5;113
356;2;1;315
357;2;2;315
358;2;3;315
359;2;4;315
360;2;5;315
361;2;1;112
362;2;2;112
363;2;3;112
364;2;4;112
365;2;5;112
366;2;1;140
367;2;2;140
368;2;3;140
369;2;4;140
370;2;5;140
371;2;1;273
372;2;2;273
373;2;3;273
374;2;4;273
375;2;5;273
376;2;1;318
377;2;2;318
378;2;3;318
379;2;4;318
380;2;5;318
381;2;1;110
382;2;2;110
383;2;3;110
384;2;4;110
385;2;5;110
386;2;1;276
387;2;2;276
388;2;3;276
389;2;4;276
390;2;5;276
391;2;1;147
392;2;2;147
393;2;3;147
394;2;4;147
395;2;5;147
396;2;1;106
